username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
trendingnews__;2017-08-31 09:46;0;0;"As Texas recovers from hurricane, Harvey moves north as tropical depression http:// bit.ly/2x9chKW pic.twitter.com/14DX0BnTBD";;;;"903267821156790272";https://twitter.com/trendingnews__/status/903267821156790272
USRealityCheck;2017-08-31 09:46;1;0;"As Texas recovers from hurricane, Harvey moves north as tropical depression https://www. upi.com/Top_News/US/20 17/08/31/As-Texas-recovers-from-hurricane-Harvey-moves-north-as-tropical-depression/8111504188050/ … #USNews #USRC pic.twitter.com/E79d0joZLw";;;#USNews #USRC;"903267788294426625";https://twitter.com/USRealityCheck/status/903267788294426625
GPM_2015;2017-08-31 09:46;0;0;"New Post Chemical Plant Explodes, Death Toll Rises as Harvey 's Grim Aftermath Unfolds Now a tropical depression ... http:// fb.me/7DNxabIkO";;;;"903267783613399040";https://twitter.com/GPM_2015/status/903267783613399040
gridpointwx;2017-08-31 09:46;0;0;"As Texas recovers from #HURRICANE , Harvey moves north as tropical depression http:// gpwx.news/rps7n";;;#HURRICANE;"903267669243256832";https://twitter.com/gridpointwx/status/903267669243256832
salespreeCOM;2017-08-31 09:45;0;0;"As Texas recovers from hurricane, Harvey moves north as tropical depression http:// salespree.com/blog/index.php /2017/08/31/as-texas-recovers-from-hurricane-harvey-moves-north-as-tropical-depression/ …";;;;"903267609050800128";https://twitter.com/salespreeCOM/status/903267609050800128
TimMelino;2017-08-31 09:45;4;2;"As Texas recovers from #HURRICANE , Harvey moves north as tropical depression http:// gpwx.news/rps7n #GPWX";;;#HURRICANE #GPWX;"903267497641730048";https://twitter.com/TimMelino/status/903267497641730048
twosheeep1;2017-08-31 09:41;0;0;"As Texas recovers from hurricane, Harvey moves north as tropical depression - http:// twosheeep.com/archives/452018 pic.twitter.com/9eHzWzoxoK";;;;"903266590405398528";https://twitter.com/twosheeep1/status/903266590405398528
kellyscott_wx;2017-08-31 09:41;0;0;"Tropical Depression Harvey is making his way into the Delta. #mswx pic.twitter.com/GMUljKZTnW";;;#mswx;"903266546553892864";https://twitter.com/kellyscott_wx/status/903266546553892864
GriffinHardyWX;2017-08-31 09:41;0;0;"Tropical Depression Harvey is making his way into the Delta. #mswx pic.twitter.com/qt6aJ7gsOP";;;#mswx;"903266471727521793";https://twitter.com/GriffinHardyWX/status/903266471727521793
ChristanaKayWx;2017-08-31 09:41;0;0;"Tropical Depression Harvey is making his way into the Delta. #mswx pic.twitter.com/jkQDJzAhrH";;;#mswx;"903266455214592002";https://twitter.com/ChristanaKayWx/status/903266455214592002
GGarland_WJTV;2017-08-31 09:41;0;0;"Tropical Depression Harvey is making his way into the Delta. #mswx pic.twitter.com/d0Kvum0U0p";;;#mswx;"903266415557435393";https://twitter.com/GGarland_WJTV/status/903266415557435393
WJTV;2017-08-31 09:40;1;1;"Tropical Depression Harvey is making his way into the Delta. #mswx pic.twitter.com/Ea6SThvTCJ";;;#mswx;"903266372246921220";https://twitter.com/WJTV/status/903266372246921220
KenSouthWJTV;2017-08-31 09:40;0;1;"Tropical Depression Harvey is making his way into the Delta. #mswx pic.twitter.com/xdkp0Tqaph";;;#mswx;"903266330110984192";https://twitter.com/KenSouthWJTV/status/903266330110984192
StormTeam12;2017-08-31 09:40;2;2;"Tropical Depression Harvey is making his way into the Delta. #mswx pic.twitter.com/UYL3T95LHc";;;#mswx;"903266313791000577";https://twitter.com/StormTeam12/status/903266313791000577
steveandted;2017-08-31 09:38;0;0;"Harvey downgraded to Tropical Depression http:// dlvr.it/Pjv1tH pic.twitter.com/VXLltcSHQM";;;;"903265671743643650";https://twitter.com/steveandted/status/903265671743643650
UPIusnews;2017-08-31 09:38;0;0;"As Texas recovers from hurricane, Harvey moves north as tropical depression https://www. upi.com/Top_News/US/20 17/08/31/As-Texas-recovers-from-hurricane-Harvey-moves-north-as-tropical-depression/8111504188050/?utm_source=dlvr.it&utm_medium=twitter …";;;;"903265650277203968";https://twitter.com/UPIusnews/status/903265650277203968
