"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"4417","RT @DavidFinfrock: A bit of good news...
#Harvey downgraded to Tropical Depression at 7 pm.
Flooding will continue long after it's gone htt…",FALSE,0,NA,2017-08-31 00:24:46,FALSE,NA,"903050898045370375",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LoveHurts38",14,TRUE,FALSE,NA,NA
"4418","RT @hurrtrackerapp: JUST IN: #Harvey downgrades to a tropical depression as it tracks NNE. Despite its weakening, it will continue to drop…",FALSE,0,NA,2017-08-31 00:24:41,FALSE,NA,"903050876465664001",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PhotogEricP",25,TRUE,FALSE,NA,NA
"4419","RT @AP: BREAKING: National Hurricane Center downgrades Harvey to a tropical depression but says catastrophic flooding continues.",FALSE,0,NA,2017-08-31 00:24:36,FALSE,NA,"903050856920121344",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iamkimmie25",619,TRUE,FALSE,NA,NA
"4420","RT @AP: BREAKING: National Hurricane Center downgrades Harvey to a tropical depression but says catastrophic flooding continues.",FALSE,0,NA,2017-08-31 00:24:36,FALSE,NA,"903050856836325376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MrAndrewDavid",619,TRUE,FALSE,NA,NA
"4421","RT @KOAA: #Harvey downgraded to Tropical Depression.",FALSE,0,NA,2017-08-31 00:24:30,FALSE,NA,"903050831095664642",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","wadupdg4_d",4,TRUE,FALSE,NA,NA
"4422","RT @NBCNews: LATEST: Get the latest Tropical Depression Harvey updates at https://t.co/e9vzRKVChb https://t.co/B33S5vgAAI",FALSE,0,NA,2017-08-31 00:24:21,FALSE,NA,"903050794454269952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mk_makam",40,TRUE,FALSE,NA,NA
"4423","#Harvey now a Tropical Depression. It arrives in WAVE Country late tomorrow night. #WAVE3Weather https://t.co/Q8rrqYzNwH",FALSE,1,NA,2017-08-31 00:24:16,FALSE,NA,"903050773705011200",NA,"<a href=""http://www.socialnewsdesk.com"" rel=""nofollow"">SocialNewsDesk</a>","RyanHokeWAVE3",0,FALSE,FALSE,NA,NA
"4424","RT @AP: BREAKING: National Hurricane Center downgrades Harvey to a tropical depression but says catastrophic flooding continues.",FALSE,0,NA,2017-08-31 00:24:16,FALSE,NA,"903050770651553792",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chuck_tatum_20m",619,TRUE,FALSE,NA,NA
"4425","RT @AP: BREAKING: National Hurricane Center downgrades Harvey to a tropical depression but says catastrophic flooding continues.",FALSE,0,NA,2017-08-31 00:24:15,FALSE,NA,"903050768831434753",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","carynmiller2",619,TRUE,FALSE,NA,NA
"4426","RT @AP: BREAKING: National Hurricane Center downgrades Harvey to a tropical depression but says catastrophic flooding continues.",FALSE,0,NA,2017-08-31 00:24:15,FALSE,NA,"903050767300362240",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","susanfknowles",619,TRUE,FALSE,NA,NA
"4427","Harvey weakens to a tropical depression: U.S. Hurricane Center https://t.co/kePXgR4t3j",FALSE,0,NA,2017-08-31 00:24:14,FALSE,NA,"903050765232730112",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","zoe_nor",0,FALSE,FALSE,NA,NA
"4428","#Harvey now a Tropical Depression. It arrives in WAVE Country late tomorrow night. #WAVE3Weather https://t.co/9VbBT07Yp5",FALSE,0,NA,2017-08-31 00:24:13,FALSE,NA,"903050759574564865",NA,"<a href=""http://www.socialnewsdesk.com"" rel=""nofollow"">SocialNewsDesk</a>","WAVE3Weather",0,FALSE,FALSE,NA,NA
"4429","RT @BuzzFeedStorm: JUST IN: #Harvey downgraded to a tropical depression over Louisiana after historic rainfall on southeast Texas https://t…",FALSE,0,NA,2017-08-31 00:24:09,FALSE,NA,"903050742671581184",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DustyEli54",33,TRUE,FALSE,NA,NA
"4430","RT @NBCNews: LATEST: Get the latest Tropical Depression Harvey updates at https://t.co/e9vzRKVChb https://t.co/B33S5vgAAI",FALSE,0,NA,2017-08-31 00:24:07,FALSE,NA,"903050732605243392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mehmetcan198",40,TRUE,FALSE,NA,NA
"4431","The forecast for now, Tropical Depression Harvey. Sustained winds currently at 35 mph. #Charlottesville #vawx https://t.co/joqVE0VZAP",FALSE,0,NA,2017-08-31 00:24:07,FALSE,NA,"903050732450009089",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DurkinWeather",0,FALSE,FALSE,NA,NA
"4432","RT @AP: BREAKING: National Hurricane Center downgrades Harvey to a tropical depression but says catastrophic flooding continues.",FALSE,0,NA,2017-08-31 00:24:04,FALSE,NA,"903050719674097664",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CAMLaPistolaa",619,TRUE,FALSE,NA,NA
"4433","RT @NBCNews: LATEST: Get the latest Tropical Depression Harvey updates at https://t.co/e9vzRKVChb https://t.co/B33S5vgAAI",FALSE,0,NA,2017-08-31 00:24:00,FALSE,NA,"903050703987511297",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","Delpucas",40,TRUE,FALSE,NA,NA
"4434","#BREAKING NHC: #Harvey downgraded to a tropical depression, but heavy rainfall still to come as the system moves northeast.",FALSE,0,NA,2017-08-31 00:23:57,FALSE,NA,"903050691115134976",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","therealSperkin",1,FALSE,FALSE,NA,NA
